PDB,LOOP,CAN_OLD,CAN_NEW,TYPE
1bm3,L3,,9A,FAB
2ajx,L3,,9A,FAB
1jfq,L3,,9A,FAB
2v7n,L3,,9A,FAB
1r0a,L3,,9A,FAB
1plg,L3,,9A,FAB
1u8o,L3,,9A,FAB
3gi8,L3,,9A,FAB
3eyo,L3,,10H,FAB
1nc2,L3,,9D,FAB
1ce1,L3,,9A,FAB
3eot,L3,,9A,FAB
1z3g,L3,,9A,FAB
2a6d,L3,,9A,FAB
1gig,L3,9D,9D,FAB
1a7n,L3,,9A,FV
1oaz,L3,,9C,FV
1fsk,L3,,9A,FAB
1u8j,L3,,9A,FAB
3gk8,L3,,9A,FAB
1a4j,L3,,9A,FAB
1p7k,L3,,9A,FAB
1jhk,L3,,9A,FAB
1e6o,L3,,8B,FAB
3gbm,L3,,10J,FAB
2dqf,L3,,9A,FV
1lk3,L3,,9A,FAB
2hkh,L3,,9A,FAB
1il1,L3,,8B,FAB
1it9,L3,,9A,FAB
1cfv,L3,,9A,FV
2fx9,L3,,9A,FAB
1dee,L3,,9A,FAB
1dbm,L3,,9A,FAB
1bey,L3,,9A,FAB
1t66,L3,,9A,FAB
2jb6,L3,,11H,
1hi6,L3,,9A,FAB
2ih3,L3,,9A,FAB
1fns,L3,,9A,FAB
1mhp,L3,,9A,FAB
3duu,L3,,8B,FV
2fed,L3,,9A,FAB
2qqk,L3,,9A,FAB
3c5s,L3,,9A,FAB
3dv4,L3,,8B,FV
3dsf,L3,,9A,FAB
1aqk,L3,,10F,FAB
1rur,L3,,9A,FAB
2gcy,L3,,9A,FAB
1fl3,L3,,9A,FAB
1vfa,L3,9A,9A,FV
3hns,L3,,9A,FAB
2f5b,L3,,9A,FAB
1oau,L3,,9D,FV
2ny1,L3,,11D,FAB
1a7q,L3,,9A,FV
2bob,L3,,9A,FAB
1mvu,L3,,9A,FV
1ine,L3,,9D,FAB
1fvc,L3,9A,9A,FV
2c1o,L3,,9A,FAB
1ad0,L3,,9A,FAB
1mj8,L3,,9A,FAB
1mpa,L3,,9A,FAB
3ejy,L3,,9A,FAB
2osl,L3,,9A,FAB
1d6v,L3,,9A,FAB
1s78,L3,,9A,FAB
1e4w,L3,,9A,FAB
3fct,L3,,9A,FAB
2vxt,L3,,9A,FAB
2vxu,L3,,9A,FAB
1tjg,L3,,9A,FAB
1otu,L3,,9A,FAB
2ht4,L3,,9A,FAB
1jrh,L3,,8B,FAB
3cxd,L3,,9A,FAB
2ntf,L3,,9D,FAB
1ztx,L3,,9A,FAB
1a3l,L3,,9A,FAB
1m7i,L3,,8B,FAB
1qfu,L3,,9A,FAB
2orb,L3,,9A,FAB
2aj3,L3,,9A,FAB
2iqa,L3,,9A,FAB
1cfn,L3,,9A,FAB
2gsg,L3,,13A,FV
2g5b,L3,,8B,FAB
1jnn,L3,,9A,FAB
1kfa,L3,,9A,FAB
3cfd,L3,,9A,FAB
2j88,L3,,8B,FAB
2itd,L3,,9A,FAB
1s5i,L3,,9A,FAB
1bvl,L3,,9A,FV
1cgs,L3,9A,9A,FAB
1a2y,L3,,9A,FV
2zcl,L3,,9A,FAB
2b2x,L3,,9A,FAB
1ruq,L3,,9A,FAB
1lo2,L3,,9A,FAB
3hc4,L3,,9A,FAB
2dwd,L3,,9A,FAB
1kcv,L3,,9A,FAB
3ffd,L3,,13A,FAB
1q0y,L3,,9C,FAB
1a4k,L3,,9A,FAB
2nxy,L3,,11D,FAB
1nmb,L3,,9A,FAB
1zlu,L3,,9D,FAB
2dbl,L3,,9A,FAB
1d5i,L3,,9A,FAB
3hnt,L3,,9A,FAB
6fab,L3,9A,9A,FAB
2nyy,L3,,9A,FAB
1q9r,L3,,8B,FAB
1u6a,L3,,9C,FAB
2bdn,L3,,9A,FAB
1a7o,L3,,8B,FV
2ig2,L3,,11A,FAB
2fb4,L3,11A,11A,FAB
2hmi,L3,,9I,FAB
1vfb,L3,,9A,FV
1p4b,L3,,9D,FV
1ad9,L3,,9A,FAB
1ikf,L3,9A,9A,FAB
1oak,L3,,9A,FAB
3hi5,L3,,8B,FAB
1jps,L3,,9A,FAB
1yed,L3,,9A,FAB
1bgx,L3,,9K,FAB
3ijs,L3,,8B,FAB
2fee,L3,,9A,FAB
1cz8,L3,,9A,FAB
2ny7,L3,,9J,FAB
3cfb,L3,,9A,FAB
2dqg,L3,,9A,FV
3be1,L3,,9A,FAB
1ngq,L3,,9D,FAB
2h1p,L3,,9A,FAB
2rcs,L3,,9A,FAB
1a7r,L3,,9A,FV
3d85,L3,,9A,FAB
1ucb,L3,,9A,FAB
2fjh,L3,,9A,FAB
8fab,L3,9F,9D,FAB
1rih,L3,,9A,FAB
3cmo,L3,,8B,FAB
1ck0,L3,,8B,FAB
1ind,L3,9D,9D,FAB
1frg,L3,9A,9A,FAB
1q9o,L3,,8B,FAB
2or9,L3,,9A,FAB
2zuq,L3,,8B,FAB
2dqt,L3,,9A,FAB
1a7p,L3,,9A,FV
1uwe,L3,,9A,FAB
3gbn,L3,,12B,FAB
1rz8,L3,,11D,FAB
1zlv,L3,,9D,FAB
1wcb,L3,,9A,FAB
1cfq,L3,,9A,FAB
1keg,L3,,8B,FAB
3dus,L3,,8B,FV
2vxs,L3,,9D,FAB
2w65,L3,,9A,FAB
1hys,L3,,9I,FAB
1n8z,L3,,9A,FAB
2zch,L3,,9A,FAB
1f3d,L3,,9A,FAB
12e8,L3,,9A,FAB
3fmg,L3,,9A,FAB
1ifh,L3,,9A,FAB
1za3,L3,,8B,FAB
3eyf,L3,,10H,FAB
1a6w,L3,,9D,FV
1rzi,L3,,9A,FAB
1ymh,L3,,9A,FAB
2exw,L3,,9A,FAB
3eyu,L3,,9A,FAB
1ap2,L3,,9A,FV
1xf3,L3,,9A,FAB
2ajy,L3,,9A,FAB
1a6t,L3,,9A,FAB
3ijy,L3,,8B,FAB
1bbd,L3,9A,9A,FAB
43c9,L3,,9A,FV
1mhh,L3,,9A,FAB
1uwg,L3,,9A,FAB
1uz6,L3,,9A,FAB
3ijh,L3,,8B,FAB
2b0s,L3,,13B,FAB
3eoa,L3,,9A,FAB
1nca,L3,,9A,FAB
2oz4,L3,,9A,FAB
1yef,L3,,9A,FAB
3h0t,L3,,9D,FAB
3c08,L3,,9A,FAB
2hvk,L3,,9A,FAB
1kip,L3,,9A,FV
2a1w,L3,,9A,FAB
1r3i,L3,,9A,FAB
1q9k,L3,,8B,FAB
1nma,L3,,9A,FAB
3det,L3,,9A,FAB
1u8h,L3,,9A,FAB
3b2v,L3,,9A,FAB
1mfd,L3,,9C,FAB
1a5f,L3,,9A,FAB
2z91,L3,,9A,FAB
1u8m,L3,,9A,FAB
2fd6,L3,,8B,FAB
1yqv,L3,,8B,FAB
1ott,L3,,9A,FAB
1k6q,L3,,9A,FAB
1d5b,L3,,9A,FAB
1dbb,L3,9A,9A,FAB
3g6d,L3,,10I,FAB
3bt2,L3,,8B,FAB
1rmf,L3,9A,9A,FAB
1fbi,L3,9A,9A,FAB
1ibg,L3,9A,9A,FAB
2jb5,L3,,11H,FAB
1qyg,L3,,9A,FAB
1pg7,L3,,9D,FAB
1qbl,L3,,9A,FAB
1n6q,L3,,9A,FAB
3hc3,L3,,9A,FAB
3d9a,L3,,9A,FAB
1vge,L3,,9A,FAB
1baf,L3,10A,10A,FAB
1f58,L3,,9A,FAB
2nlj,L3,,9A,FAB
3gje,L3,,9D,FAB
1t03,L3,,9A,FAB
2aep,L3,,9A,FAB
1dl7,L3,,9D,FV
1dvf,L3,,9A,FV
1cr9,L3,,9A,FAB
2w9e,L3,,9A,FAB
1ejo,L3,,9A,FAB
2c1p,L3,,9A,FAB
1kel,L3,,9A,FAB
3dv6,L3,,8B,FV
2nxz,L3,,11D,FAB
1yy8,L3,,9A,FAB
1t2q,L3,,9A,FAB
2nr6,L3,,9A,FAB
1lo4,L3,,9A,FAB
1t04,L3,,9A,FAB
1rjl,L3,,9A,FAB
2dtm,L3,,9A,FAB
2g60,L3,,9A,FAB
1uac,L3,,9A,FV
1for,L3,9A,9A,FAB
1n4x,L3,,9A,FV
1yy9,L3,,9A,FAB
2dqh,L3,,9A,FV
3clf,L3,,9A,FAB
2fx8,L3,,9A,FAB
2ny0,L3,,11D,FAB
1igf,L3,9A,9A,FAB
1v7n,L3,,9A,FAB
1kno,L3,,9A,FAB
1cic,L3,,9A,FAB
1fgn,L3,,9A,FAB
3dur,L3,,8B,FV
15c8,L3,,9A,FAB
2ajv,L3,,9A,FAB
2ddq,L3,,9A,FAB
3dvn,L3,,11C,FAB
1zea,L3,,9A,FAB
1ai1,L3,,9A,FAB
2h2s,L3,,9A,FAB
1hh6,L3,,9A,FAB
1xgy,L3,,9A,FAB
3cfc,L3,,9A,FAB
1nsn,L3,,9A,FAB
2r23,L3,,8B,FAB
3bn9,L3,,9A,FAB
3grw,L3,,9A,FAB
1fve,L3,,9A,FV
1eo8,L3,,8B,FAB
1qfw,L3,,11E,FV
2hlf,L3,,9A,FAB
1axs,L3,,9A,FAB
2r2e,L3,,8B,FAB
1dlf,L3,,9A,FV
2hkf,L3,,9A,FAB
1dsf,L3,,9A,FV
1dba,L3,,9A,FAB
1jnh,L3,,9D,FAB
1aif,L3,,9A,FAB
1gc1,L3,,11D,FAB
1ots,L3,,9A,FAB
2g75,L3,,10I,FAB
2arj,L3,,9A,FAB
1fh5,L3,,9A,FAB
3b2u,L3,,9A,FAB
2dwe,L3,,9A,FAB
